Ticker,Date,Price,Open,High,Low,Change %
VLAV,2023-01-13,"9,170.02","9,128.11","9,177.95","9,056.28",0.46%
VLAV,2023-01-16,"9,169.82","9,170.02","9,170.11","9,169.40",0.00%
VLAV,2023-01-17,"9,158.53","9,169.82","9,203.16","9,145.57",-0.12%
VLAV,2023-01-18,"9,033.76","9,158.53","9,244.33","9,033.76",-1.36%
VLAV,2023-01-19,"8,942.07","9,033.76","9,033.76","8,900.69",-1.01%
VLAV,2023-01-20,"9,103.94","8,942.07","9,103.94","8,939.75",1.81%
VLAV,2023-01-23,"9,225.21","9,103.94","9,250.37","9,103.94",1.33%
VLAV,2023-01-24,"9,193.55","9,225.21","9,225.21","9,153.70",-0.34%
VLAV,2023-01-25,"9,221.19","9,193.55","9,221.77","9,076.01",0.30%
VLAV,2023-01-26,"9,296.10","9,221.19","9,296.10","9,199.58",0.81%
VLAV,2023-01-27,"9,335.92","9,296.10","9,371.39","9,269.00",0.43%
VLAV,2023-01-30,"9,232.19","9,335.92","9,336.87","9,229.95",-1.11%
VLAV,2023-01-31,"9,423.85","9,232.19","9,424.30","9,232.19",2.08%
VLAV,2023-02-13,"9,480.83","9,366.52","9,481.64","9,354.92",1.22%
VLAV,2023-02-14,"9,484.96","9,480.83","9,533.76","9,394.07",0.04%
VLAV,2023-02-15,"9,570.49","9,484.96","9,570.49","9,426.06",0.90%
VLAV,2023-02-16,"9,480.82","9,570.49","9,570.49","9,438.34",-0.94%
VLAV,2023-02-17,"9,470.20","9,480.87","9,480.87","9,396.44",-0.11%
VLAV,2023-02-20,"9,470.20","9,470.20","9,470.20","9,470.20",0.00%
VLAV,2023-02-21,"9,232.94","9,470.20","9,470.20","9,227.53",-2.51%
VLAV,2023-02-22,"9,251.73","9,232.94","9,302.51","9,221.59",0.20%
VLAV,2023-02-23,"9,286.65","9,251.73","9,325.89","9,182.66",0.38%
VLAV,2023-02-24,"9,201.26","9,286.65","9,286.65","9,128.40",-0.92%
VLAV,2023-02-27,"9,218.26","9,201.26","9,308.14","9,201.26",0.18%
VLAV,2023-02-28,"9,199.33","9,218.26","9,263.11","9,197.67",-0.21%
VLAV,2023-03-13,"8,636.51","8,758.80","8,758.80","8,557.23",-1.40%
VLAV,2023-03-14,"8,762.63","8,636.51","8,856.24","8,636.51",1.46%
VLAV,2023-03-15,"8,610.44","8,762.63","8,762.63","8,484.12",-1.74%
VLAV,2023-03-16,"8,729.06","8,610.44","8,749.90","8,503.81",1.38%
VLAV,2023-03-17,"8,555.24","8,729.06","8,729.06","8,532.80",-1.99%
VLAV,2023-03-20,"8,653.69","8,555.24","8,710.15","8,555.24",1.15%
VLAV,2023-03-21,"8,802.89","8,653.69","8,827.34","8,653.69",1.72%
VLAV,2023-03-22,"8,612.34","8,802.89","8,841.77","8,610.25",-2.16%
VLAV,2023-03-23,"8,578.60","8,612.34","8,753.42","8,519.70",-0.39%
VLAV,2023-03-24,"8,625.76","8,578.60","8,629.75","8,466.42",0.55%
VLAV,2023-03-27,"8,705.29","8,625.76","8,745.48","8,625.76",0.92%
VLAV,2023-03-28,"8,724.53","8,705.29","8,746.69","8,685.92",0.22%
VLAV,2023-03-29,"8,836.59","8,724.53","8,840.09","8,724.53",1.28%
