Ticker,Date,Price,Open,High,Low,Change %
VLAV,2023-01-13,9170.02,9128.11,9177.95,9056.28,0.46
VLAV,2023-01-16,9169.82,9170.02,9170.11,9169.4,0.0
VLAV,2023-01-17,9158.53,9169.82,9203.16,9145.57,-0.12
VLAV,2023-01-18,9033.76,9158.53,9244.33,9033.76,-1.36
VLAV,2023-01-19,8942.07,9033.76,9033.76,8900.69,-1.01
VLAV,2023-01-20,9103.94,8942.07,9103.94,8939.75,1.81
VLAV,2023-01-23,9225.21,9103.94,9250.37,9103.94,1.33
VLAV,2023-01-24,9193.55,9225.21,9225.21,9153.7,-0.34
VLAV,2023-01-25,9221.19,9193.55,9221.77,9076.01,0.3
VLAV,2023-01-26,9296.1,9221.19,9296.1,9199.58,0.81
VLAV,2023-01-27,9335.92,9296.1,9371.39,9269.0,0.43
VLAV,2023-01-30,9232.19,9335.92,9336.87,9229.95,-1.11
VLAV,2023-01-31,9423.85,9232.19,9424.3,9232.19,2.08
VLAV,2023-02-13,9480.83,9366.52,9481.64,9354.92,1.22
VLAV,2023-02-14,9484.96,9480.83,9533.76,9394.07,0.04
VLAV,2023-02-15,9570.49,9484.96,9570.49,9426.06,0.9
VLAV,2023-02-16,9480.82,9570.49,9570.49,9438.34,-0.94
VLAV,2023-02-17,9470.2,9480.87,9480.87,9396.44,-0.11
VLAV,2023-02-20,9470.2,9470.2,9470.2,9470.2,0.0
VLAV,2023-02-21,9232.94,9470.2,9470.2,9227.53,-2.51
VLAV,2023-02-22,9251.73,9232.94,9302.51,9221.59,0.2
VLAV,2023-02-23,9286.65,9251.73,9325.89,9182.66,0.38
VLAV,2023-02-24,9201.26,9286.65,9286.65,9128.4,-0.92
VLAV,2023-02-27,9218.26,9201.26,9308.14,9201.26,0.18
VLAV,2023-02-28,9199.33,9218.26,9263.11,9197.67,-0.21
VLAV,2023-03-13,8636.51,8758.8,8758.8,8557.23,-1.4
VLAV,2023-03-14,8762.63,8636.51,8856.24,8636.51,1.46
VLAV,2023-03-15,8610.44,8762.63,8762.63,8484.12,-1.74
VLAV,2023-03-16,8729.06,8610.44,8749.9,8503.81,1.38
VLAV,2023-03-17,8555.24,8729.06,8729.06,8532.8,-1.99
VLAV,2023-03-20,8653.69,8555.24,8710.15,8555.24,1.15
VLAV,2023-03-21,8802.89,8653.69,8827.34,8653.69,1.72
VLAV,2023-03-22,8612.34,8802.89,8841.77,8610.25,-2.16
VLAV,2023-03-23,8578.6,8612.34,8753.42,8519.7,-0.39
VLAV,2023-03-24,8625.76,8578.6,8629.75,8466.42,0.55
VLAV,2023-03-27,8705.29,8625.76,8745.48,8625.76,0.92
VLAV,2023-03-28,8724.53,8705.29,8746.69,8685.92,0.22
VLAV,2023-03-29,8836.59,8724.53,8840.09,8724.53,1.28
VLAV,2023-03-30,8870.28,8836.59,8925.68,8836.59,0.38
VLAV,2023-03-31,9024.94,8870.28,9025.21,8870.28,1.74
VLAV,2023-04-13,9026.68,8945.21,9041.01,8945.21,0.91
VLAV,2023-04-14,8977.44,9026.68,9070.26,8930.67,-0.55
VLAV,2023-04-17,9033.9,8977.44,9033.9,8968.73,0.63
VLAV,2023-04-18,9028.3,9033.9,9075.99,8996.87,-0.06
VLAV,2023-04-19,9028.2,9028.3,9040.1,8969.73,0.0
VLAV,2023-04-20,8975.01,9028.2,9028.2,8944.2,-0.59
VLAV,2023-04-21,8973.8,8975.01,8982.92,8926.26,-0.01
VLAV,2023-04-24,8978.75,8973.8,9003.41,8942.56,0.06
VLAV,2023-04-25,8784.57,8978.75,8978.75,8784.38,-2.16
VLAV,2023-04-26,8709.35,8784.57,8793.38,8693.45,-0.86
VLAV,2023-04-27,8840.28,8709.35,8841.59,8709.35,1.5
VLAV,2023-04-28,8922.76,8840.28,8931.85,8819.39,0.93
VLAV,2023-05-15,8799.26,8712.49,8819.04,8712.49,1.0
VLAV,2023-05-16,8666.47,8799.26,8799.26,8666.47,-1.51
VLAV,2023-05-17,8819.57,8666.47,8829.78,8666.47,1.77
VLAV,2023-05-18,8889.28,8819.57,8897.23,8785.25,0.79
VLAV,2023-05-19,8835.74,8889.28,8929.11,8815.54,-0.6
VLAV,2023-05-22,8881.32,8835.74,8913.08,8824.38,0.52
VLAV,2023-05-23,8809.66,8881.32,8920.66,8809.48,-0.81
VLAV,2023-05-24,8711.98,8809.66,8809.66,8686.75,-1.11
VLAV,2023-05-25,8679.52,8711.98,8713.62,8621.63,-0.37
VLAV,2023-05-26,8764.68,8679.52,8776.47,8679.52,0.98
VLAV,2023-05-29,8765.72,8764.68,8765.96,8764.66,0.01
VLAV,2023-05-30,8738.04,8765.72,8806.85,8711.96,-0.32
VLAV,2023-05-31,8641.59,8738.04,8738.04,8593.27,-1.1
VLAV,2023-06-13,9261.91,9159.26,9281.73,9159.26,1.12
VLAV,2023-06-14,9214.2,9261.91,9310.53,9164.0,-0.52
VLAV,2023-06-15,9306.49,9214.2,9314.99,9188.6,1.0
VLAV,2023-06-16,9274.15,9306.49,9354.1,9249.55,-0.35
VLAV,2023-06-19,9273.93,9274.15,9274.26,9273.8,0.0
VLAV,2023-06-20,9200.37,9273.93,9273.93,9163.95,-0.79
VLAV,2023-06-21,9184.31,9200.37,9224.83,9145.49,-0.17
VLAV,2023-06-22,9134.7,9184.31,9184.31,9099.39,-0.54
VLAV,2023-06-23,9027.65,9134.7,9134.7,9017.93,-1.17
VLAV,2023-06-26,9081.84,9027.65,9120.68,9027.65,0.6
VLAV,2023-06-27,9217.46,9081.84,9233.63,9081.84,1.49
VLAV,2023-06-28,9221.0,9217.46,9223.31,9171.25,0.04
